"Start","Stop"
20 Sep 2001 00:00:00.00,27 Sep 2001 00:00:00.00
"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
20 Sep 2001 16:33:12.00,347.502,-82.284,424.294585
20 Sep 2001 16:34:12.00,182.719,-48.712,574.255794
20 Sep 2001 16:34:27.04,182.279,-42.000,655.943182
21 Sep 2001 08:05:23.77,339.523,-42.000,655.943182
21 Sep 2001 08:06:23.00,280.019,-68.406,454.278332
21 Sep 2001 08:07:23.00,201.432,-45.052,614.683343
21 Sep 2001 08:07:30.90,198.899,-42.000,655.943182
21 Sep 2001 09:37:28.94,40.857,-42.000,655.943182
21 Sep 2001 09:38:28.00,100.425,-52.518,540.234406
21 Sep 2001 09:39:09.74,137.960,-42.000,655.943184
21 Sep 2001 15:43:05.74,30.880,-42.000,655.943186
21 Sep 2001 15:44:05.00,92.585,-59.965,490.859051
21 Sep 2001 15:45:01.95,150.389,-42.000,655.943186
21 Sep 2001 17:15:03.86,327.870,-42.000,655.943186
21 Sep 2001 17:16:03.00,267.064,-58.037,501.830405
21 Sep 2001 17:16:57.33,213.757,-42.000,655.943186
22 Sep 2001 07:16:41.74,284.060,-42.000,655.943183
22 Sep 2001 07:17:04.26,264.727,-42.818,644.102025
22 Sep 2001 07:17:16.64,254.244,-42.000,655.943183
22 Sep 2001 08:47:59.45,8.564,-42.000,655.943187
22 Sep 2001 08:48:59.00,56.769,-77.516,431.072511
22 Sep 2001 08:49:59.00,167.738,-47.774,583.816005
22 Sep 2001 08:50:12.37,170.014,-42.000,655.943184
22 Sep 2001 14:54:31.54,70.337,-42.000,655.943182
22 Sep 2001 14:55:01.88,96.996,-43.490,634.817159
22 Sep 2001 14:55:17.86,110.658,-42.000,655.943183
22 Sep 2001 16:25:30.79,3.613,-42.000,655.943182
22 Sep 2001 16:26:30.00,23.464,-81.421,425.272737
22 Sep 2001 16:27:30.00,176.999,-48.878,572.620648
22 Sep 2001 16:27:45.37,177.849,-42.000,655.943183
23 Sep 2001 07:58:43.72,334.374,-42.000,655.943183
23 Sep 2001 07:59:43.00,273.289,-64.150,470.596591
23 Sep 2001 08:00:43.00,205.265,-43.191,638.902875
23 Sep 2001 08:00:46.33,204.027,-42.000,655.943183
23 Sep 2001 09:30:45.09,36.210,-42.000,655.943183
23 Sep 2001 09:31:45.00,97.978,-55.324,519.304203
23 Sep 2001 09:32:32.75,142.572,-42.000,655.943182
23 Sep 2001 15:36:27.95,35.302,-42.000,655.943182
23 Sep 2001 15:37:27.00,96.220,-56.822,509.347042
23 Sep 2001 15:38:18.55,145.932,-42.000,655.943182
23 Sep 2001 17:08:18.04,333.456,-42.000,655.943183
23 Sep 2001 17:09:18.00,270.891,-62.167,479.627458
23 Sep 2001 17:10:18.00,208.176,-42.021,655.628506
23 Sep 2001 17:10:18.06,208.152,-42.000,655.943183
24 Sep 2001 08:41:17.43,4.219,-42.000,655.943183
24 Sep 2001 08:42:17.00,36.837,-80.693,426.181575
24 Sep 2001 08:43:17.00,172.962,-48.490,576.478589
24 Sep 2001 08:43:31.65,174.331,-42.000,655.943182
24 Sep 2001 10:13:49.02,73.870,-42.000,655.943184
24 Sep 2001 10:14:13.16,94.824,-42.875,643.295684
24 Sep 2001 10:14:25.26,105.155,-42.000,655.943181
24 Sep 2001 14:48:05.19,82.163,-42.000,655.943186
24 Sep 2001 14:48:17.96,93.106,-42.248,652.283816
24 Sep 2001 14:48:24.62,98.791,-42.000,655.943182
24 Sep 2001 16:18:49.83,7.952,-42.000,655.943184
24 Sep 2001 16:19:49.00,48.676,-78.883,428.780662
24 Sep 2001 16:20:49.00,171.518,-48.352,577.863099
24 Sep 2001 16:21:03.46,173.483,-42.000,655.943186
25 Sep 2001 07:52:04.17,328.936,-42.000,655.943186
25 Sep 2001 07:53:04.00,266.760,-59.952,490.929613
25 Sep 2001 07:54:00.93,209.446,-42.000,655.943187
25 Sep 2001 09:24:01.55,31.703,-42.000,655.943187
25 Sep 2001 09:25:01.00,93.547,-58.442,499.435414
25 Sep 2001 09:25:55.21,147.044,-42.000,655.943186
25 Sep 2001 15:29:50.69,39.841,-42.000,655.943184
25 Sep 2001 15:30:50.00,100.251,-53.833,530.034854
25 Sep 2001 15:31:34.85,141.358,-42.000,655.943182
25 Sep 2001 17:01:33.09,338.711,-42.000,655.943182
25 Sep 2001 17:02:33.00,276.782,-66.455,461.270154
25 Sep 2001 17:03:33.00,204.674,-43.945,628.755398
25 Sep 2001 17:03:38.24,202.878,-42.000,655.943182
26 Sep 2001 08:34:35.65,359.821,-42.000,655.943182
26 Sep 2001 08:35:35.00,3.946,-82.100,424.493259
26 Sep 2001 08:36:35.00,178.537,-48.911,572.294499
26 Sep 2001 08:36:50.41,178.703,-42.000,655.943184
26 Sep 2001 10:06:59.59,65.144,-42.000,655.943187
